system:index,B11_S2A,B11_S2B,B12_S2A,B12_S2B,B1_S2A,B1_S2B,B2_S2A,B2_S2B,B3_S2A,B3_S2B,B4_S2A,B4_S2B,B5_S2A,B5_S2B,B6_S2A,B6_S2B,B7_S2A,B7_S2B,B8A_S2A,B8A_S2B,B8_S2A,B8_S2B,B9_S2A,B9_S2B,WVP_S2A,WVP_S2B,classProb_S2A,classProb_S2B,class_S2A,class_S2B,dist_emd,dist_sam,dist_sed,dist_sid,spc_S2A,spc_S2B,.geo
0,922,861,529,525,468,570,356,452,533,564,505,542,1022,1074,1358,1495,1633,1659,1954,1963,1730,1860,1545,1415,1350,1423,0.92135274,0.7510584,4.0,4.0,5333.0,0.061680773021485454,87046.0,0.01734268440600668,72.12582,72.230934,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,922,861,529,525,468,570,411,490,578,588,553,576,1022,1074,1358,1495,1633,1659,1954,1963,1838,1924,1545,1415,1350,1423,0.85828966,0.5310044,4.0,4.0,4494.0,0.05692862669658907,72866.0,0.014466521367336452,70.29055,70.59475,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,269,308,166,157,391,482,538,604,772,713,764,684,885,834,852,731,837,952,939,734,1052,1004,385,405,1350,1423,0.59212303,0.44009423,4.0,4.0,1769.0,0.11451555286555509,104645.0,0.04924286363835103,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,206,193,102,91,383,488,437,554,717,719,672,650,877,875,721,576,653,701,558,623,1096,1136,367,462,1350,1423,0.72784364,0.5808284,4.0,4.0,2856.0,0.09407428225063094,69004.0,0.04287882289429601,0.0,24.640354,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,252,203,124,108,374,495,476,603,716,724,656,716,925,880,781,739,914,702,683,811,1136,1180,462,427,1350,1423,0.7200042,0.6487462,4.0,4.0,2429.0,0.1190887642804543,110698.0,0.06154457540618485,23.907497,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,422,380,233,200,379,493,542,634,764,807,692,697,999,983,1090,937,1060,1041,1075,1026,768,849,575,498,1350,1423,0.50958705,0.5246248,4.0,4.0,1643.0,0.08878603903884487,70433.0,0.03521669468731577,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,322,287,182,161,327,420,343,443,494,553,455,492,840,768,789,801,1002,876,1032,947,876,760,924,864,1350,1423,0.8268097,0.6231653,4.0,4.0,1991.0,0.09769051168605687,75979.0,0.04350184238000149,32.243183,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,373,301,214,162,327,420,332,502,553,555,530,538,901,883,985,838,1048,959,1136,968,858,745,924,864,1350,1423,0.75215685,0.45879194,4.0,4.0,2897.0,0.11466267385057877,125281.0,0.06712827470988383,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,710,633,362,408,318,455,370,454,570,584,550,557,964,1073,1234,1300,1303,1423,1565,1502,1644,1604,1118,1112,1350,1423,0.6056599,0.62107307,4.0,4.0,4894.0,0.06850781450524575,75686.0,0.026059755144855916,63.61473,61.18271,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,279,218,137,113,426,493,420,567,672,705,625,637,876,836,908,876,957,958,916,872,1006,1000,319,251,1350,1423,0.4002378,0.7997002,4.0,4.0,2054.0,0.07671990369467373,46178.0,0.0363317608859851,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,281,188,130,98,336,433,479,564,652,710,601,626,800,780,751,590,742,672,747,632,958,828,612,569,1350,1423,0.53250486,0.5953539,4.0,4.0,2569.0,0.12044482157434,98820.0,0.067039494133181,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,245,227,130,124,389,489,388,474,524,606,507,558,753,764,797,793,917,895,814,845,1280,1178,261,272,1350,1423,0.5208391,0.5693969,4.0,4.0,3421.0,0.0758291679179695,44517.0,0.02412172765280921,52.24774,39.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
